area,year,date.1,date.2,date.3,date.4,date.5,date.6
Climate Change,1992,1992-04-15,1992-06-03,,,,
Climate Change,1994,1994-03-12,,,,,
Climate Change,1995,1995-04-29,,,,,
Climate Change,1996,1996-05-09,,,,,
Climate Change,1998,1998-04-03,,,,,
Climate Change,1999,1999-03-26,,,,,
Climate Change,2000,2000-04-07,,,,,
Climate Change,2001,2001-03-02,,,,,
Climate Change,2002,2002-04-12,,,,,
Climate Change,2003,2003-04-25,,,,,
Climate Change,2005,2005-03-17,2005-11-01,,,,
Climate Change,2006,2006-10-03,,,,,
Climate Change,2007,2007-03-15,,,,,
Climate Change,2008,2008-05-24,,,,,
Climate Change,2009,2009-04-22,,,,,
Climate Change,2016,2016-05-15,,,,,
Climate Change,2017,2017-06-11,,,,,
Climate Change,2018,2018-09-19,,,,,
Climate Change,2019,2019-05-05,,,,,
Conflict Prevention,1993,1993-04-14,,,,,
Conflict Prevention,1995,1995-10-15,,,,,
Conflict Prevention,1996,1996-09-15,,,,,
Conflict Prevention,1997,1997-09-15,,,,,
Conflict Prevention,1998,1998-05-08,1998-06-12,1998-09-24,,,
Conflict Prevention,1999,1999-05-06,1999-06-07,1999-12-16,,,
Conflict Prevention,2000,2000-07-12,,,,,
Conflict Prevention,2001,2001-07-18,,,,,
Conflict Prevention,2002,2002-06-12,2002-09-12,,,,
Conflict Prevention,2003,2003-02-22,2003-05-22,,,,
Conflict Prevention,2004,2004-05-14,2004-09-24,,,,
Conflict Prevention,2005,2005-06-23,2005-09-15,,,,
Conflict Prevention,2006,2006-06-29,,,,,
Conflict Prevention,2007,2007-05-30,2007-09-26,,,,
Conflict Prevention,2008,2008-06-26,,,,,
Conflict Prevention,2009,2009-06-25,2009-09-23,,,,
Conflict Prevention,2010,2010-03-29,,,,,
Conflict Prevention,2011,2011-03-14,,,,,
Conflict Prevention,2012,2012-04-11,,,,,
Conflict Prevention,2013,2013-04-10,,,,,
Conflict Prevention,2014,2014-09-25,,,,,
Conflict Prevention,2015,2015-04-14,2015-09-29,,,,
Conflict Prevention,2016,2016-04-10,,,,,
Conflict Prevention,2017,2017-04-10,,,,,
Conflict Prevention,2018,2018-04-22,,,,,
Conflict Prevention,2019,2019-04-05,,,,,
Conflict Prevention,2020,2020-03-25,,,,,
Crime and Corruption,1997,1997-12-10,,,,,
Crime and Corruption,1999,1999-10-19,,,,,
Crime and Corruption,2000,2000-02-07,,,,,
Crime and Corruption,2001,2001-02-26,,,,,
Crime and Corruption,2002,2002-05-13,,,,,
Crime and Corruption,2003,2003-05-05,,,,,
Crime and Corruption,2004,2004-04-10,2004-10-17,,,,
Crime and Corruption,2005,2005-06-16,2005-09-09,,,,
Crime and Corruption,2006,2006-06-15,,,,,
Crime and Corruption,2007,2007-03-23,,,,,
Crime and Corruption,2008,2008-06-11,,,,,
Crime and Corruption,2009,2009-05-28,,,,,
Crime and Corruption,2011,2011-05-10,,,,,
Crime and Corruption,2017,2017-10-19,,,,,
Crime and Corruption,2018,2018-04-23,,,,,
Crime and Corruption,2019,2019-04-04,,,,,
Development,2002,2002-09-26,,,,,
Development,2003,2003-04-23,,,,,
Development,2005,2005-03-17,,,,,
Development,2007,2007-03-26,,,,,
Development,2008,2008-04-05,,,,,
Development,2009,2009-06-11,,,,,
Development,2010,2010-05-26,,,,,
Development,2014,2014-05-15,,,,,
Development,2015,2015-10-12,,,,,
Development,2018,2018-05-31,,,,,
Development,2019,2019-07-04,,,,,
East-West Relations,1993,1993-04-14,,,,,
East-West Relations,1995,1995-10-15,,,,,
East-West Relations,1996,1996-09-15,,,,,
East-West Relations,1997,1997-09-15,,,,,
East-West Relations,1998,1998-05-08,1998-06-12,1998-09-24,,,
East-West Relations,1999,1999-05-06,1999-06-07,1999-12-16,,,
East-West Relations,2000,2000-07-12,,,,,
East-West Relations,2001,2001-07-18,,,,,
East-West Relations,2002,2002-06-12,2002-09-12,,,,
East-West Relations,2003,2003-02-22,2003-05-22,,,,
East-West Relations,2004,2004-05-14,2004-09-24,,,,
East-West Relations,2005,2005-06-23,2005-09-15,,,,
East-West Relations,2006,2006-06-29,,,,,
East-West Relations,2007,2007-05-30,2007-09-26,,,,
East-West Relations,2008,2008-06-26,,,,,
East-West Relations,2009,2009-06-25,2009-09-23,,,,
East-West Relations,2010,2010-03-29,,,,,
East-West Relations,2011,2011-03-14,,,,,
East-West Relations,2012,2012-04-11,,,,,
East-West Relations,2013,2013-04-10,,,,,
East-West Relations,2014,2014-09-25,,,,,
East-West Relations,2015,2015-04-14,2015-09-29,,,,
East-West Relations,2016,2016-04-10,,,,,
East-West Relations,2017,2017-04-10,,,,,
East-West Relations,2018,2018-04-22,,,,,
East-West Relations,2019,2019-04-05,,,,,
East-West Relations,2020,2020-03-25,,,,,
Education,2000,2000-04-01,,,,,
Education,2006,2006-06-01,,,,,
Education,2016,2016-05-14,,,,,
Education,2019,2019-07-04,,,,,
Energy,1979,1979-11-26,,,,,
Energy,1998,1998-03-31,,,,,
Energy,2002,2002-05-02,,,,,
Energy,2005,2005-03-15,,,,,
Energy,2006,2006-03-15,,,,,
Energy,2007,2007-06-07,,,,,
Energy,2009,2009-05-23,,,,,
Energy,2014,2014-05-05,,,,,
Energy,2015,2015-05-11,,,,,
Energy,2016,2016-05-01,,,,,
Energy,2017,2017-04-09,,,,,
Energy,2018,2018-11-20,,,,,
Environment,1992,1992-04-15,1992-06-03,,,,
Environment,1994,1994-03-12,,,,,
Environment,1995,1995-04-29,,,,,
Environment,1996,1996-05-09,,,,,
Environment,1998,1998-04-03,,,,,
Environment,1999,1999-03-26,,,,,
Environment,2000,2000-04-07,,,,,
Environment,2001,2001-03-02,,,,,
Environment,2002,2002-04-12,,,,,
Environment,2003,2003-04-25,,,,,
Environment,2005,2005-03-17,2005-11-01,,,,
Environment,2006,2006-10-03,,,,,
Environment,2007,2007-03-15,,,,,
Environment,2008,2008-05-24,,,,,
Environment,2009,2009-04-22,,,,,
Environment,2016,2016-05-15,,,,,
Environment,2017,2017-06-11,,,,,
Environment,2018,2018-09-19,,,,,
Environment,2019,2019-05-05,,,,,
Finance Crisis/Regulation,1985,1985-01-17,1985-09-22,,,,
Finance Crisis/Regulation,1986,1986-09-27,,,,,
Finance Crisis/Regulation,1987,1987-02-22,1987-04-08,1987-09-26,1987-12-22,,
Finance Crisis/Regulation,1988,1988-09-24,1988-04-13,,,,
Finance Crisis/Regulation,1989,1989-04-02,1989-09-23,,,,
Finance Crisis/Regulation,1990,1990-04-07,1990-05-06,1990-09-22,,,
Finance Crisis/Regulation,1991,1991-01-20,1991-04-21,1991-04-28,1991-10-11,,
Finance Crisis/Regulation,1992,1992-01-25,1992-04-26,1992-11-19,,,
Finance Crisis/Regulation,1993,1993-04-29,1993-07-08,,,,
Finance Crisis/Regulation,1994,1994-10-01,,,,,
Finance Crisis/Regulation,1995,1995-02-03,1995-04-24,1995-10-07,,,
Finance Crisis/Regulation,1996,1996-04-22,1996-05-21,1998-06-28,,,
Finance Crisis/Regulation,1997,1997-02-08,1997-04-27,1997-09-20,1997-12-24,,
Finance Crisis/Regulation,1998,1998-02-21,1998-04-15,1998-05-08,1998-09-14,,
Finance Crisis/Regulation,1999,1999-02-20,1999-04-26,1999-06-11,1999-09-25,,
Finance Crisis/Regulation,2000,2000-01-22,2000-02-15,2000-04-16,2000-07-08,2000-11-23,
Finance Crisis/Regulation,2001,2001-02-17,2001-04-28,2001-07-07,2001-10-06,,
Finance Crisis/Regulation,2002,2002-02-08,2002-04-19,2002-06-14,,,
Finance Crisis/Regulation,2003,2003-05-16,2003-09-20,,,,
Finance Crisis/Regulation,2004,2004-02-06,2004-04-23,2004-05-22,2004-10-01,,
Finance Crisis/Regulation,2005,2005-02-04,2005-04-15,2005-06-10,2005-07-21,2005-09-23,2005-12-02
Finance Crisis/Regulation,2006,2006-02-10,2006-04-21,2006-06-09,2006-09-16,,
Finance Crisis/Regulation,2007,2007-02-09,2007-04-13,2007-05-18,2007-10-19,,
Finance Crisis/Regulation,2008,2008-02-09,2008-04-12,2008-06-13,2008-10-10,,
Finance Crisis/Regulation,2009,2009-02-13,2009-04-24,2009-06-12,2009-10-03,,
Finance Crisis/Regulation,2010,2010-02-05,2010-05-09,2010-10-08,,,
Finance Crisis/Regulation,2011,2011-09-09,,,,,
Finance Crisis/Regulation,2012,2012-10-11,,,,,
Finance Crisis/Regulation,2013,2013-05-10,,,,,
Finance Crisis/Regulation,2014,2014-10-10,,,,,
Finance Crisis/Regulation,2015,2015-05-27,,,,,
Finance Crisis/Regulation,2016,2016-05-20,2016-06-24,2016-10-11,,,
Finance Crisis/Regulation,2017,2017-05-11,2017-10-13,,,,
Finance Crisis/Regulation,2018,2018-05-31,,,,,
Finance Crisis/Regulation,2019,2019-07-17,,,,,
Finance Crisis/Regulation,2020,2020-03-03,2020-03-24,2020-04-14,,,
Food and Agriculture,2009,2009-04-20,,,,,
Food and Agriculture,2016,2016-04-24,,,,,
Food and Agriculture,2017,2017-10-15,,,,,
Gender,2017,2017-11-16,,,,,
Gender,2019,2019-05-09,,,,,
Health,2006,2006-04-28,,,,,
Health,2015,2015-10-08,,,,,
Health,2016,2016-09-11,,,,,
Health,2017,2017-11-05,,,,,
Health,2019,2019-05-16,,,,,
Health,2020,2020-02-03,2020-03-09,2020-03-19,2020-04-03,,
Heiligendamm Process,2002,2002-09-26,,,,,
Heiligendamm Process,2003,2003-04-23,,,,,
Heiligendamm Process,2005,2005-03-17,,,,,
Heiligendamm Process,2007,2007-03-26,,,,,
Heiligendamm Process,2008,2008-04-05,,,,,
Heiligendamm Process,2009,2009-06-11,,,,,
Heiligendamm Process,2010,2010-05-26,,,,,
Heiligendamm Process,2014,2014-05-15,,,,,
Heiligendamm Process,2015,2015-10-12,,,,,
Heiligendamm Process,2018,2018-05-31,,,,,
Heiligendamm Process,2019,2019-07-04,,,,,
ICT and Digitization,2016,2016-04-16,,,,,
ICT and Digitization,2017,2017-09-26,,,,,
ICT and Digitization,2020,2020-05-28,2020-07-13,,,,
Information and Communications Technology,1995,1995-02-25,,,,,
Information and Communications Technology,2016,2016-04-29,,,,,
Information and Communications Technology,2017,2017-09-26,,,,,
Labour and Employment,1994,1994-03-15,,,,,
Labour and Employment,1996,1996-04-02,,,,,
Labour and Employment,1997,1997-11-28,,,,,
Labour and Employment,1998,1998-02-21,,,,,
Labour and Employment,2000,2000-11-10,,,,,
Labour and Employment,2002,2002-04-26,,,,,
Labour and Employment,2003,2003-12-15,,,,,
Labour and Employment,2005,2005-03-11,,,,,
Labour and Employment,2006,2006-10-09,,,,,
Labour and Employment,2007,2007-05-06,,,,,
Labour and Employment,2008,2008-05-11,,,,,
Labour and Employment,2009,2009-03-29,,,,,
Labour and Employment,2015,2015-10-12,,,,,
Labour and Employment,2017,2017-11-30,,,,,
Labour and Employment,2018,2018-03-26,,,,,
Labour and Employment,2019,2019-06-06,,,,,
Macro,1985,1985-01-17,1985-09-22,,,,
Macro,1986,1986-09-27,,,,,
Macro,1987,1987-02-22,1987-04-08,1987-09-26,1987-12-22,,
Macro,1988,1988-09-24,1988-04-13,,,,
Macro,1989,1989-04-02,1989-09-23,,,,
Macro,1990,1990-04-07,1990-05-06,1990-09-22,,,
Macro,1991,1991-01-20,1991-04-21,1991-04-28,1991-10-11,,
Macro,1992,1992-01-25,1992-04-26,1992-11-19,,,
Macro,1993,1993-04-29,1993-07-08,,,,
Macro,1994,1994-10-01,,,,,
Macro,1995,1995-02-03,1995-04-24,1995-10-07,,,
Macro,1996,1996-04-22,1996-05-21,1998-06-28,,,
Macro,1997,1997-02-08,1997-04-27,1997-09-20,1997-12-24,,
Macro,1998,1998-02-21,1998-04-15,1998-05-08,1998-09-14,,
Macro,1999,1999-02-20,1999-04-26,1999-06-11,1999-09-25,,
Macro,2000,2000-01-22,2000-02-15,2000-04-16,2000-07-08,2000-11-23,
Macro,2001,2001-02-17,2001-04-28,2001-07-07,2001-10-06,,
Macro,2002,2002-02-08,2002-04-19,2002-06-14,,,
Macro,2003,2003-05-16,2003-09-20,,,,
Macro,2004,2004-02-06,2004-04-23,2004-05-22,2004-10-01,,
Macro,2005,2005-02-04,2005-04-15,2005-06-10,2005-07-21,2005-09-23,2005-12-02
Macro,2006,2006-02-10,2006-04-21,2006-06-09,2006-09-16,,
Macro,2007,2007-02-09,2007-04-13,2007-05-18,2007-10-19,,
Macro,2008,2008-02-09,2008-04-12,2008-06-13,2008-10-10,,
Macro,2009,2009-02-13,2009-04-24,2009-06-12,2009-10-03,,
Macro,2010,2010-02-05,2010-05-09,2010-10-08,,,
Macro,2011,2011-09-09,,,,,
Macro,2012,2012-10-11,,,,,
Macro,2013,2013-05-10,,,,,
Macro,2014,2014-10-10,,,,,
Macro,2015,2015-05-27,,,,,
Macro,2016,2016-05-20,2016-06-24,2016-10-11,,,
Macro,2017,2017-05-11,2017-10-13,,,,
Macro,2018,2018-05-31,,,,,
Macro,2019,2019-07-17,,,,,
Macro,2020,2020-03-03,2020-03-24,2020-04-14,,,
Migration and Refugees,1993,1993-04-14,,,,,
Migration and Refugees,1995,1995-10-15,,,,,
Migration and Refugees,1996,1996-09-15,,,,,
Migration and Refugees,1997,1997-09-15,,,,,
Migration and Refugees,1998,1998-05-08,1998-06-12,1998-09-24,,,
Migration and Refugees,1999,1999-05-06,1999-06-07,1999-12-16,,,
Migration and Refugees,2000,2000-07-12,,,,,
Migration and Refugees,2001,2001-07-18,,,,,
Migration and Refugees,2002,2002-06-12,2002-09-12,,,,
Migration and Refugees,2003,2003-02-22,2003-05-22,,,,
Migration and Refugees,2004,2004-05-14,2004-09-24,,,,
Migration and Refugees,2005,2005-06-23,2005-09-15,,,,
Migration and Refugees,2006,2006-06-29,,,,,
Migration and Refugees,2007,2007-05-30,2007-09-26,,,,
Migration and Refugees,2008,2008-06-26,,,,,
Migration and Refugees,2009,2009-06-25,2009-09-23,,,,
Migration and Refugees,2010,2010-03-29,,,,,
Migration and Refugees,2011,2011-03-14,,,,,
Migration and Refugees,2012,2012-04-11,,,,,
Migration and Refugees,2013,2013-04-10,,,,,
Migration and Refugees,2014,2014-09-25,,,,,
Migration and Refugees,2015,2015-04-14,2015-09-29,,,,
Migration and Refugees,2016,2016-04-10,,,,,
Migration and Refugees,2017,2017-04-10,,,,,
Migration and Refugees,2018,2018-04-22,,,,,
Migration and Refugees,2019,2019-04-05,,,,,
Nonproliferation,1993,1993-04-14,,,,,
Nonproliferation,1995,1995-10-15,,,,,
Nonproliferation,1996,1996-09-15,,,,,
Nonproliferation,1997,1997-09-15,,,,,
Nonproliferation,1998,1998-05-08,1998-06-12,1998-09-24,,,
Nonproliferation,1999,1999-05-06,1999-06-07,1999-12-16,,,
Nonproliferation,2000,2000-07-12,,,,,
Nonproliferation,2001,2001-07-18,,,,,
Nonproliferation,2002,2002-06-12,2002-09-12,,,,
Nonproliferation,2003,2003-02-22,2003-05-22,,,,
Nonproliferation,2004,2004-05-14,2004-09-24,,,,
Nonproliferation,2005,2005-06-23,2005-09-15,,,,
Nonproliferation,2006,2006-06-29,,,,,
Nonproliferation,2007,2007-05-30,2007-09-26,,,,
Nonproliferation,2008,2008-06-26,,,,,
Nonproliferation,2009,2009-06-25,2009-09-23,,,,
Nonproliferation,2010,2010-03-29,,,,,
Nonproliferation,2011,2011-03-14,,,,,
Nonproliferation,2012,2012-04-11,,,,,
Nonproliferation,2013,2013-04-10,,,,,
Nonproliferation,2014,2014-09-25,,,,,
Nonproliferation,2015,2015-04-14,2015-09-29,,,,
Nonproliferation,2016,2016-04-10,,,,,
Nonproliferation,2017,2017-04-10,,,,,
Nonproliferation,2018,2018-04-22,,,,,
Nonproliferation,2019,2019-04-05,,,,,
Nuclear Safety,1993,1993-04-14,,,,,
Nuclear Safety,1995,1995-10-15,,,,,
Nuclear Safety,1996,1996-09-15,,,,,
Nuclear Safety,1997,1997-09-15,,,,,
Nuclear Safety,1998,1998-05-08,1998-06-12,1998-09-24,,,
Nuclear Safety,1999,1999-05-06,1999-06-07,1999-12-16,,,
Nuclear Safety,2000,2000-07-12,,,,,
Nuclear Safety,2001,2001-07-18,,,,,
Nuclear Safety,2002,2002-06-12,2002-09-12,,,,
Nuclear Safety,2003,2003-02-22,2003-05-22,,,,
Nuclear Safety,2004,2004-05-14,2004-09-24,,,,
Nuclear Safety,2005,2005-06-23,2005-09-15,,,,
Nuclear Safety,2006,2006-06-29,,,,,
Nuclear Safety,2007,2007-05-30,2007-09-26,,,,
Nuclear Safety,2008,2008-06-26,,,,,
Nuclear Safety,2009,2009-06-25,2009-09-23,,,,
Nuclear Safety,2010,2010-03-29,,,,,
Nuclear Safety,2011,2011-03-14,,,,,
Nuclear Safety,2012,2012-04-11,,,,,
Nuclear Safety,2013,2013-04-10,,,,,
Nuclear Safety,2014,2014-09-25,,,,,
Nuclear Safety,2015,2015-04-14,2015-09-29,,,,
Nuclear Safety,2016,2016-04-10,,,,,
Nuclear Safety,2017,2017-04-10,,,,,
Nuclear Safety,2018,2018-04-22,,,,,
Nuclear Safety,2019,2019-04-05,,,,,
Regional Security,1993,1993-04-14,,,,,
Regional Security,1995,1995-10-15,,,,,
Regional Security,1996,1996-09-15,,,,,
Regional Security,1997,1997-09-15,,,,,
Regional Security,1998,1998-05-08,1998-06-12,1998-09-24,,,
Regional Security,1999,1999-05-06,1999-06-07,1999-12-16,,,
Regional Security,2000,2000-07-12,,,,,
Regional Security,2001,2001-07-18,,,,,
Regional Security,2002,2002-06-12,2002-09-12,,,,
Regional Security,2003,2003-02-22,2003-05-22,,,,
Regional Security,2004,2004-05-14,2004-09-24,,,,
Regional Security,2005,2005-06-23,2005-09-15,,,,
Regional Security,2006,2006-06-29,,,,,
Regional Security,2007,2007-05-30,2007-09-26,,,,
Regional Security,2008,2008-06-26,,,,,
Regional Security,2009,2009-06-25,2009-09-23,,,,
Regional Security,2010,2010-03-29,,,,,
Regional Security,2011,2011-03-14,,,,,
Regional Security,2012,2012-04-11,,,,,
Regional Security,2013,2013-04-10,,,,,
Regional Security,2014,2014-09-25,,,,,
Regional Security,2015,2015-04-14,2015-09-29,,,,
Regional Security,2016,2016-04-10,,,,,
Regional Security,2017,2017-04-10,,,,,
Regional Security,2018,2018-04-22,,,,,
Regional Security,2019,2019-04-05,,,,,
Regional Security,2020,2020-03-25,,,,,
Terrorism,1995,1995-12-12,,,,,
Terrorism,1996,1996-07-30,,,,,
Trade,1993,1993-05-14,1993-06-02,1993-06-23,,,
Trade,1995,1995-05-03,1995-10-20,,,,
Trade,1996,1996-04-19,1996-09-27,,,,
Trade,1997,1997-04-30,,,,,
Trade,1999,1999-05-11,,,,,